nom,nom,nom,nom,num,
A,S,J,O,APL,R
0,1,0,0,2.82765104,0
0,1,0,0,2.808134504,0
1,0,0,0,2.807911001,0
0,1,0,0,2.818135765,0
0,0,1,0,2.815622275,0
0,0,1,0,2.810587055,0
1,1,0,1,2.808084672,1
0,1,0,0,2.809252845,0
1,1,1,1,2.808084672,1
0,0,1,0,2.813776781,0
1,1,0,0,2.805761731,1
0,0,1,0,2.807481297,0
0,0,1,0,2.81242952,0
0,0,1,0,2.809895833,0
0,0,1,0,2.486316091,0
0,0,1,0,2.831637254,0
0,1,0,0,2.829311434,0
1,1,0,1,2.698866146,1
1,1,0,1,2.805709256,1
0,0,1,0,2.808581674,0
1,1,1,1,2.805709256,1
0,1,0,0,2.839064475,0
0,0,1,0,2.473548562,0
0,1,1,0,2.707690024,1
0,1,0,0,2.809252845,0
0,0,1,0,2.809854785,0
0,1,0,1,2.698866146,1
0,0,1,0,2.809500062,0
0,0,1,0,2.603172539,0
0,0,1,0,2.809252845,0
1,1,1,1,2.810148515,1
0,1,0,0,2.831260418,0
0,1,0,0,2.809252845,0
1,0,0,0,2.807255953,1
0,1,0,0,2.809005443,1
0,0,1,0,2.712624795,0
0,0,1,0,2.486594982,0
1,1,0,0,2.698263173,1
0,1,1,1,2.744032922,1
0,0,1,0,2.384955101,0
0,1,0,0,2.815470992,0
0,0,1,0,2.808134504,0
0,0,1,0,2.398511601,0
1,1,0,1,2.80538094,1
1,1,0,1,2.808134504,1
1,0,0,0,2.810148515,0
0,1,0,0,2.827815416,0
0,0,1,0,2.808458019,0
1,1,1,1,2.680778032,1
0,0,1,0,2.712624795,0
1,0,0,0,2.818023617,0
0,1,0,1,2.698866146,1
0,0,1,0,2.809895833,0
0,0,1,0,2.807227366,0
0,0,1,0,2.816408204,0
1,0,1,0,2.818694399,0
0,0,1,0,2.806584877,0
0,0,1,0,2.807911001,0
0,0,1,0,2.719615385,0
0,0,1,0,2.739315688,0
0,0,1,0,2.808581674,0
1,1,1,1,2.807256236,1
0,0,1,0,2.815622275,0
1,0,0,0,2.810148515,0
0,1,0,0,2.835433468,0
0,0,1,0,2.482321072,0
0,0,1,0,2.805753596,0
0,0,1,0,2.398511601,0
0,0,1,0,2.808458019,0
0,0,1,0,2.808581674,0
0,0,1,0,2.809252845,0
0,0,1,0,2.814511041,0
0,0,1,0,2.690363349,0
1,1,1,1,2.723920622,1
1,1,1,1,2.808134504,1
0,0,1,0,2.809252845,0
0,0,1,0,2.810148515,0
0,0,1,0,2.790424457,0
0,0,1,0,2.809129144,0
0,0,1,0,2.810148515,0
1,1,0,1,2.829076621,1
1,0,1,0,2.804071247,1
1,0,0,0,2.809252845,0
1,1,0,1,2.816611734,1
0,1,0,1,2.808458019,1
1,1,0,1,2.681551453,1
0,0,1,0,2.809410289,0
0,0,1,0,2.809138446,0
1,1,0,1,2.805510535,1
1,1,0,1,2.681551453,1
1,1,0,1,2.808581674,1
1,1,1,0,2.806516543,1
0,1,0,1,2.816264663,1
0,0,1,0,2.808581674,0
1,1,0,1,2.681310819,1
1,1,0,1,2.679862798,1
1,0,0,0,2.811268666,0
1,0,0,0,2.811757106,1
0,0,1,0,2.809252845,0
0,0,1,0,2.481217985,0
1,1,1,1,2.679862798,1
0,0,1,0,2.809429526,0
0,0,1,0,2.81242952,0
0,0,1,0,2.81242952,0
1,1,1,1,2.680778032,1
0,0,1,0,2.398511601,0
0,0,1,0,2.809323085,0
0,0,1,0,2.809777228,0
0,0,1,0,2.809129144,0
0,0,1,0,2.809429526,0
0,0,1,0,2.816964844,0
0,0,1,0,2.807911001,0
0,0,1,0,2.833268859,0
0,0,1,0,2.809005443,0
0,0,1,0,2.813341646,0
0,0,1,0,2.809252845,0
1,1,0,1,2.681551453,1
1,0,0,0,2.810599479,0
0,1,0,0,2.82939995,0
1,0,0,0,2.81126935,0
1,0,0,0,2.81126935,0
0,0,1,0,2.807911001,0
0,0,1,0,2.808458019,0
0,0,1,0,2.807911001,0
0,0,1,0,2.699529289,0
0,0,1,0,2.464527982,0
0,0,1,0,2.809129144,0
0,0,1,0,2.808458019,0
0,0,1,0,2.809252845,0
0,1,0,1,2.834346505,1
0,0,1,0,2.809252845,0
1,1,1,1,2.681310819,1
1,1,0,1,2.838474778,1
1,1,1,1,2.804651163,1
0,0,1,0,2.811681772,0
0,1,0,0,2.832277679,0
0,0,1,0,2.808134504,0
1,1,0,0,2.698263173,1
1,1,0,1,2.679862798,1
1,1,0,1,2.808134504,1
1,1,0,1,2.811412487,1
0,1,0,1,2.816611734,1
1,1,0,1,2.811412487,1
1,1,0,1,2.808781695,1
1,1,0,1,2.802050769,1
1,1,0,1,2.681310819,1
0,1,0,0,2.834051724,0
0,1,0,0,2.813393529,0
0,0,1,0,2.816658329,0
0,0,1,0,2.817294456,0
0,0,1,0,2.809252845,0
0,1,0,0,2.8307012,0
0,0,1,0,2.810897833,0
0,0,1,0,2.809252845,0
0,0,1,0,2.807911001,0
1,0,0,0,2.810049628,0
0,0,1,0,2.832109264,0
0,0,1,0,2.808526459,0
0,1,0,0,2.808134504,0
0,0,1,0,2.807911001,0
0,0,1,0,2.808581674,0
0,0,1,0,2.808581674,0
0,0,1,0,2.816176471,0
0,0,1,0,2.808581674,0
0,0,1,0,2.810148515,0
0,0,1,0,2.680277451,0
0,0,1,0,2.808581674,0
0,0,1,0,2.811138924,0
0,0,1,0,2.808134504,0
0,0,1,0,2.810225303,0
0,0,1,0,2.808134504,0
0,0,1,0,2.809252845,0
