nom,nom,nom,nom,num,
A,S,J,O,AS,R
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,1,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,1,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
1,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,1,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,1,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,1,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
1,1,0,1,724.0,1
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,1,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
1,1,1,1,724.0,1
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,1,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
0,0,0,0,762.0,0
